"","time","HR1","HR2","RESP1","RESP2","name","study","group","condition"
"1",16.703776,0.738483036892071,-2.16971709723824,0.188333316744288,-0.351786499788473,"Study1_G2_T3_SelfPaced.csv","1","2","3"
"2",16.705442,0.738483036892071,-2.16971709723824,-0.145138240852198,-0.335144144016897,"Study1_G2_T3_SelfPaced.csv","1","2","3"
"3",16.707109,0.738483036892071,-2.16971709723824,-0.403394355783052,-0.200593018957221,"Study1_G2_T3_SelfPaced.csv","1","2","3"
"4",16.708777,0.738483036892071,-2.79001052716676,-0.498925751303289,0.105373170496176,"Study1_G2_T3_SelfPaced.csv","1","2","3"
"5",16.71044,0.738483036892071,-2.85893201938104,-0.362611581020456,0.500821609336631,"Study1_G2_T3_SelfPaced.csv","1","2","3"
"6",16.712108,0.738483036892071,-2.85893201938104,0.0087868657775846,0.849044453654563,"Study1_G2_T3_SelfPaced.csv","1","2","3"
"7",16.713775,0.738483036892071,-2.85893201938104,0.513094492986712,1.05696582547303,"Study1_G2_T3_SelfPaced.csv","1","2","3"
"8",16.715441,0.738483036892071,-2.85893201938104,1.00543796776595,1.12754251361957,"Study1_G2_T3_SelfPaced.csv","1","2","3"
"9",16.717107,0.903892195922013,-2.85893201938104,1.3374172691458,1.11087827732682,"Study1_G2_T3_SelfPaced.csv","1","2","3"
"10",16.718776,0.950546061289433,-2.85893201938104,1.47852662823393,1.04421133966476,"Study1_G2_T3_SelfPaced.csv","1","2","3"
"11",16.720443,0.950546061289433,-2.67429633797646,1.46447463031491,0.940183013213088,"Study1_G2_T3_SelfPaced.csv","1","2","3"
"12",16.722108,0.950546061289433,-2.37304864726372,1.35348033909414,0.802354636067207,"Study1_G2_T3_SelfPaced.csv","1","2","3"
"13",16.723776,0.950546061289433,-2.37304864726372,1.23762704438269,0.658094394217799,"Study1_G2_T3_SelfPaced.csv","1","2","3"
"14",16.725442,0.950546061289433,-2.37304864726372,1.16096652998924,0.523031459971298,"Study1_G2_T3_SelfPaced.csv","1","2","3"
