"","RESP_RR","RESP_DET","RESP_NRLINE","RESP_maxL","RESP_L","RESP_ENTR","RESP_rENTR","RESP_LAM","RESP_TT","RESP_n","HR_RR","HR_DET","HR_NRLINE","HR_maxL","HR_L","HR_ENTR","HR_rENTR","HR_LAM","HR_TT","HR_n","condition","group"
"1",3.59210428824839,7.06062782706606,7158,4,2.03241128806929,0.144002398113989,0.131076631491687,9.44409931859215,2.05915343915344,"Study2_G9_T2_Conversation.csv",10.6874114128137,20.5569478078519,59694,6,2.12170402385499,0.385133725384398,0.239297038058414,23.4356638771125,2.21662905479052,"Study2_G9_T2_Conversation.csv",2,9
"2",3.57205556112465,7.011918357785,7065,4,2.03354564755839,0.147949486686319,0.134669426341192,10.0798461643582,2.06633316658329,"Study2_G6_T1_TurnTaking.csv",10.4161791534521,19.6275596530729,55731,6,2.1147655703289,0.369541462082925,0.229609020160358,24.3946428809337,2.1450139112608,"Study2_G6_T1_TurnTaking.csv",1,6
"3",3.71933578003225,7.21009328384538,5005,4,2.04155844155844,0.174456750668754,0.158797377808557,9.01861443147659,2.05614543114543,"Study1_G3_T1_SelfPaced.csv",10.5588398242563,19.8215913498237,37887,6,2.11782405574471,0.37645214349883,0.233902867945671,24.9364502558047,2.17648073481533,"Study1_G3_T1_SelfPaced.csv",1,3
"4",3.81912561399227,7.3895538330914,7936,4,2.0398185483871,0.168878236839069,0.153719595694498,10.7625099285147,2.04732546022925,"Study2_G8_T1_TurnTaking.csv",10.9987491328842,20.9382136593613,62519,6,2.12351445160671,0.389138950438395,0.241785624305236,25.9645835699055,2.20932417198991,"Study2_G8_T1_TurnTaking.csv",1,8
"5",3.7532089376515,7.35040609978452,4356,4,2.0360422405877,0.156227857895348,0.142204724548229,10.4375932371954,2.06628383921247,"Study1_G4_T1_Synchronous.csv",10.6223239950797,20.0752804837964,32557,8,2.11982062229321,0.380797013325792,0.212526859696102,24.4551036851949,2.13608415061741,"Study1_G4_T1_Synchronous.csv",1,4
"6",3.7271281070079,7.37502864974344,7741,4,2.03681694871464,0.15900152957868,0.144729429316182,12.0062304421649,2.07200516628996,"Study2_G10_T1_Conversation.csv",10.8291335641941,20.8254976148447,61148,6,2.12613658664224,0.394896699515935,0.24536311495154,26.2719493558959,2.1754586091178,"Study2_G10_T1_Conversation.csv",1,10
"7",3.64501549417933,7.14562438121476,7327,4,2.03903371093217,0.166252283561687,0.151329350014136,8.91720354507148,2.04969217238347,"Study2_G5_T1_Synchronous.csv",10.376628785625,19.8732179634632,56204,6,2.11515194648068,0.370370034522511,0.230123841162885,24.7629523631209,2.1596442630121,"Study2_G5_T1_Synchronous.csv",1,5
"8",3.61227505110246,7.07235968938374,7186,4,2.03924297244642,0.166940363733035,0.151955667577161,9.44493511131703,2.05740117746005,"Study2_G9_T3_TurnTaking.csv",10.7104304207552,20.6128580336392,60008,6,2.12090054659379,0.383339535704692,0.238182245331187,24.6003223011329,2.18466472974139,"Study2_G9_T3_TurnTaking.csv",3,9
"9",3.84704238860741,7.69831118433889,6970,4,2.03787661406026,0.162240304859121,0.147677489622668,10.7892340711514,2.06439904594006,"Study1_G3_T2_TurnTaking.csv",10.4824842983268,19.9937093108135,47721,7,2.1179355000943,0.376725074431997,0.210254267328807,26.3973539541334,2.19338242545777,"Study1_G3_T2_TurnTaking.csv",2,3
"10",3.76398289756408,7.37970292214559,7818,4,2.03798925556408,0.162858448236017,0.148240147971999,12.0767196379856,2.0971607817904,"Study2_G6_T2_Conversation.csv",10.663854658643,19.920292801952,57891,7,2.11535471835,0.370883120919613,0.206993810993727,23.4264335095567,2.18156754627806,"Study2_G6_T2_Conversation.csv",2,6
"11",3.7191280570062,7.26067290414524,2870,4,2.04146341463415,0.174122877693979,0.158493473530207,12.1358200632009,2.04831625183016,"Study1_G4_T2_SelfPaced.csv",10.541495747771,20.5443451335493,22299,6,2.12444504237858,0.391163537797308,0.243043571159397,29.0959239165788,2.25868569889577,"Study1_G4_T2_SelfPaced.csv",2,4
"12",3.64081397832122,7.15051858378264,7327,4,2.03807834038488,0.16318733632971,0.148539514816049,10.4444593416907,2.09589699240896,"Study2_G7_T1_Conversation.csv",10.6015801759679,19.8980627004385,57340,6,2.12084059993024,0.383178759666356,0.238082349561928,24.2586229465279,2.20659631784965,"Study2_G7_T1_Conversation.csv",1,7
"13",3.68139045663726,7.19834114089989,6508,4,2.03764597418562,0.161730446710655,0.147213396735919,10.3239009244231,2.04703476482618,"Study1_G2_T3_SelfPaced.csv",10.4856661105865,19.6048064692847,48867,7,2.11641803261915,0.373306084131373,0.208346092509953,26.3021312168389,2.19415541288466,"Study1_G2_T3_SelfPaced.csv",3,2
"14",3.78774499762466,7.3108539762319,7772,7,2.04374678332476,0.180727160401213,0.130367089032387,8.69993464232784,2.05344921238457,"Study2_G8_T2_Synchronous.csv",10.483033152402,19.849220453861,56717,7,2.11495671491793,0.369986040224774,0.206493140725064,25.0965538467648,2.13657815031345,"Study2_G8_T2_Synchronous.csv",2,8
"15",3.66089663317622,7.20525773271243,4828,5,2.04142502071251,0.173852126495556,0.12540780037157,11.306464701109,2.07876344086021,"Study1_G3_T3_Synchronous.csv",10.1223202466353,19.1060275218028,34472,6,2.10930610350429,0.357002448163758,0.22181809276745,22.3445822198749,2.14031864287332,"Study1_G3_T3_Synchronous.csv",3,3
