"","time","HR1","HR2","RESP1","RESP2","name","study","group","condition"
"1",19.008543,0.334617572667244,0.275043855752066,0.452959535307731,-0.520961041318472,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"2",19.010208,0.334617572667244,0.275043855752066,0.376505227785959,-0.700461652038894,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"3",19.011876,0.334617572667244,0.275043855752066,0.284173424996628,-0.862075720259453,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"4",19.013543,0.334617572667244,0.275043855752066,0.275343493238979,-1.00556128816571,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"5",19.015209,0.334617572667244,0.275043855752066,0.44488415540005,-1.06679959687572,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"6",19.016874,0.422966818771917,0.275043855752066,0.770322841828401,-0.971689362224615,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"7",19.018541,0.472663269705795,0.275043855752066,1.15113475728299,-0.744686039788222,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"8",19.020208,0.472663269705795,-3.7417602561851,1.49689811375591,-0.458724857945675,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"9",19.021875,0.472663269705795,-3.99815200801088,1.76538191399443,-0.196632015405193,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"10",19.02354,0.472663269705795,-3.99815200801088,1.89416639806631,-0.0388786176473268,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"11",19.025209,0.472663269705795,-3.99815200801088,1.89414157385074,-0.0015611777392912,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"12",19.026877,0.472663269705795,-3.14116440084533,1.89425568179963,-0.0648888349191706,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"13",19.028542,0.472663269705795,0.762890254019933,1.88322663745257,-0.196856814408933,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"14",19.030208,0.472663269705795,0.762890254019933,1.7843088138168,-0.372315688949404,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"15",19.031876,0.472663269705795,0.762890254019933,1.66261247771819,-0.554879178352643,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"16",19.033542,0.487607918300615,0.762890254019933,1.56454827332714,-0.735683610905726,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"17",19.035207,0.496014283135202,0.762890254019933,1.42271908118579,-0.899167246150778,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"18",19.036874,0.496014283135202,0.762890254019933,1.27347673159334,-1.02728843089481,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"19",19.038541,0.496014283135202,0.217268257803264,1.18816059632601,-1.12513242956714,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"20",19.040208,0.496014283135202,-1.11856490534789,1.09299873908837,-1.21567222605512,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"21",19.041874,0.496014283135202,-1.11856490534789,0.983309813479951,-1.29127549463545,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"22",19.043542,0.496014283135202,-1.11856490534789,0.89292567900911,-1.34304071509939,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"23",19.045209,0.496014283135202,-1.11856490534789,0.845323368187801,-1.36949551282035,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"24",19.046876,0.496014283135202,-1.11856490534789,0.806212399340147,-1.34346764117648,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"25",19.048542,0.496014283135202,-1.11856490534789,0.719982461750853,-1.25587723982906,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"26",19.050208,0.397755216571932,-1.06555100159509,0.622955450635642,-1.14198944342491,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"27",19.051876,0.342484491630092,-1.04389743527353,0.554468151761132,-0.987143194205083,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"28",19.05354,0.342484491630092,-1.04389743527353,0.504706864309032,-0.779084189905883,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"29",19.055207,0.342484491630092,-1.04389743527353,0.468486873541267,-0.540748247315653,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"30",19.056875,0.342484491630092,0.393678383891597,0.459066396641911,-0.304494963117473,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"31",19.058541,0.342484491630092,1.20231478217198,0.480757650184072,-0.0896400167126397,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"32",19.060207,0.342484491630092,1.20231478217198,0.506613635253884,0.0833294674824715,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"33",19.061876,0.342484491630092,1.20231478217198,0.462174430152917,0.165080669797493,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"34",19.063543,0.342484491630092,1.20231478217198,0.36640813455712,0.147849259362539,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"35",19.065209,0.342484491630092,0.870677021445829,0.290237031699724,0.0369006371467272,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"36",19.066876,0.196565291482952,0.777138165856402,0.190211735139158,-0.154082191300978,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"37",19.068542,0.114485741400186,0.777138165856402,0.0779441784926685,-0.387070345852656,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"38",19.070208,0.114485741400186,1.25321820741209,-0.00853395953097632,-0.635225216545084,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"39",19.071875,0.114485741400186,2.47742402855527,-0.038047605019179,-0.877000230805101,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"40",19.07354,0.114485741400186,2.47742402855527,-0.0375223642529741,-1.11177104331479,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"41",19.075208,0.114485741400186,2.47742402855527,-0.0587885500400036,-1.35154591014252,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"42",19.076875,0.114485741400186,2.47742402855527,-0.087366343461821,-1.58935819308601,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"43",19.078542,0.114485741400186,2.47742402855527,-0.0967024493192601,-1.80087124739589,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"44",19.080208,0.114485741400186,1.54185040753309,-0.0610707715998706,-1.99602082356101,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"45",19.081877,0.114485741400186,1.05988823912772,-0.0246244945477203,-2.19054842729829,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"46",19.083543,0.0653689223310164,1.05988823912772,-0.0439521489964454,-2.35783327764643,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"47",19.085208,0.0377407116046084,1.05988823912772,-0.0461580517389419,-2.44873207733809,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"48",19.086876,0.0377407116046084,1.00583450068746,-0.0119748148464748,-2.37277703455484,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"49",19.088541,0.0377407116046084,-0.291455221878742,0.00670351947955534,-2.1323406636728,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"50",19.090208,0.0377407116046084,-0.291455221878742,-0.0395754207538763,-1.81706455597792,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"51",19.091874,0.0377407116046084,-0.291455221878742,-0.138734998872219,-1.49898669541679,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"52",19.093541,0.0377407116046084,-0.291455221878742,-0.254211022799356,-1.21816935954611,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"53",19.095208,0.0377407116046084,-0.291455221878742,-0.38482906724084,-0.960473446761615,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"54",19.096876,0.0377407116046084,-0.122492337353966,-0.525324249844783,-0.712320124698312,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"55",19.098542,0.0377407116046084,-0.00507745149776618,-0.647602518751159,-0.474596695899479,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"56",19.100208,-0.0288418027596256,-0.00507745149776618,-0.718216147878409,-0.286281288201309,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"57",19.101877,-0.0662944670895074,-0.00507745149776618,-0.794371525356655,-0.183336291027731,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"58",19.103542,-0.0662944670895074,-0.00507745149776618,-0.893903511559054,-0.174300411756143,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"59",19.105207,-0.0662944670895074,-0.03569048332441,-0.991076860382029,-0.232646129041888,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"60",19.106875,-0.0662944670895074,-0.240562311702721,-1.08238686508131,-0.351180803942751,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"61",19.108541,-0.0662944670895074,-0.240562311702721,-1.15806157750035,-0.51832769040968,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"62",19.110207,-0.0662944670895074,-0.240562311702721,-1.21194168211164,-0.707622946727625,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"63",19.111874,-0.0662944670895074,-0.240562311702721,-1.26687874549813,-0.903607475577096,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"64",19.113542,-0.0662944670895074,-0.240562311702721,-1.3424705888446,-1.09106711082096,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"65",19.115208,-0.0662944670895074,-0.240562311702721,-1.39688555099804,-1.26412715884728,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"66",19.116876,-0.120099197926207,-0.240562311702721,-1.41928170795902,-1.44019678174195,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"67",19.118542,-0.15036435902185,-0.240562311702721,-1.3964112833165,-1.65565890845948,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"68",19.120209,-0.15036435902185,-0.240562311702721,-1.29095234145952,-1.94322717026495,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"69",19.121876,-0.15036435902185,-0.240562311702721,-1.113090977731,-2.26722754560982,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"70",19.12354,-0.15036435902185,-0.240562311702721,-0.834803088579168,-2.52567766667112,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"71",19.125208,-0.15036435902185,-0.556712119084746,-0.530910508786146,-2.63029899912153,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"72",19.126875,-0.15036435902185,-0.685843730550643,-0.271186478519191,-2.46746417753456,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"73",19.128541,-0.15036435902185,-0.685843730550643,-0.0907690132927774,-2.10846467339952,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"74",19.130207,-0.15036435902185,-0.685843730550643,-0.000894484504467885,-1.69458445723963,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"75",19.131876,-0.15036435902185,-0.685843730550643,-0.00504849363984675,-1.31237451339157,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"76",19.133543,-0.165230906025812,-0.685843730550643,-0.0313757424525084,-0.977475536195785,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"77",19.135208,-0.173593338715541,-0.721696313660677,-0.0205056252368215,-0.707728377398435,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"78",19.136876,-0.173593338715541,-0.754791005762248,-0.0947065093748594,-0.524405440272447,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"79",19.138543,-0.173593338715541,-0.754791005762248,-0.297144503631416,-0.435898622154198,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"80",19.140209,-0.173593338715541,-0.754791005762248,-0.543992983040378,-0.47326010507454,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"81",19.141874,-0.173593338715541,-0.754791005762248,-0.775241163113488,-0.604285217208026,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"82",19.143541,-0.173593338715541,-0.754791005762248,-1.03844750286213,-0.751497282349608,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"83",19.145208,-0.173593338715541,-0.754791005762248,-1.37496990949386,-0.872828038107685,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"84",19.146875,-0.173593338715541,-1.07491203739762,-1.69771914249319,-0.963093665295429,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"85",19.14854,-0.173593338715541,-1.11856490534789,-1.90776193088685,-1.02909153075727,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"86",19.150209,-0.152422358644901,-1.11856490534789,-2.02048149686361,-1.08576819751758,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"87",19.151877,-0.140513682355166,-1.11856490534789,-2.11925506886015,-1.17564047290766,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"88",19.153542,-0.140513682355166,-1.11856490534789,-2.20759840248274,-1.2919599267634,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"89",19.155208,-0.140513682355166,-1.11856490534789,-2.25531690732147,-1.40525472210312,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"90",19.156876,-0.140513682355166,-1.14012189080583,-2.2667794367102,-1.53968750590225,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"91",19.158542,-0.140513682355166,-1.21229092907805,-2.24875674329453,-1.70315750701649,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"92",19.160207,-0.140513682355166,-1.21229092907805,-2.20533241053607,-1.81817988486804,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"93",19.161874,-0.140513682355166,-1.21229092907805,-2.15365871975408,-1.81155400082385,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"94",19.163541,-0.140513682355166,-1.21229092907805,-2.0936599466607,-1.65952104082806,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"95",19.165208,-0.140513682355166,-1.21229092907805,-2.0008863249859,-1.41412998375641,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"96",19.166874,-0.148073189823766,-1.21229092907805,-1.98217345579526,-1.12682433785845,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"97",19.168542,-0.152325412774854,-1.15699257507726,-2.11275529651731,-0.833981481801928,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"98",19.170209,-0.152325412774854,-1.11856490534789,-2.30687961925738,-0.562444355517094,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"99",19.171876,-0.152325412774854,-1.11856490534789,-2.44416910905183,-0.328306932319399,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"100",19.173542,-0.152325412774854,-1.11856490534789,-2.56984347354417,-0.156176681219541,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"101",19.175208,-0.152325412774854,-1.11856490534789,-2.68463867771373,-0.0732028671831576,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"102",19.176876,-0.152325412774854,-1.11856490534789,-2.72910729638105,-0.0697603885292971,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"103",19.17854,-0.152325412774854,-1.03829816364776,-2.68205403879827,-0.133068409091876,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"104",19.180207,-0.152325412774854,-0.927453615585667,-2.52166749387561,-0.284031253973462,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"105",19.181875,-0.152325412774854,-0.927453615585667,-2.16316931481416,-0.500185190488087,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"106",19.183541,-0.146031877604576,-0.927453615585667,-1.66905221136285,-0.725946202640652,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"107",19.185207,-0.142491764071294,-0.927453615585667,-1.11325965827581,-0.936404590960485,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"108",19.186876,-0.142491764071294,-0.927453615585667,-0.528300427865922,-1.09654746151259,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"109",19.188543,-0.142491764071294,-0.923620243822491,0.1108032729519,-1.21271954782082,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"110",19.190209,-0.142491764071294,-0.903495042065819,0.72561025744586,-1.31026837778199,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"111",19.191876,-0.142491764071294,-0.903495042065819,1.19670085660682,-1.33024990576174,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"112",19.193542,-0.142491764071294,-0.903495042065819,1.42980837649675,-1.21753002349827,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"113",19.195208,-0.142491764071294,-0.903495042065819,1.45850058034739,-0.983890329701249,"Study2_G5_T2_TurnTaking.csv","2","5","2"
"114",19.196875,-0.142491764071294,-0.903495042065819,1.39749308881369,-0.669479529989644,"Study2_G5_T2_TurnTaking.csv","2","5","2"
