"","time","HR1","HR2","RESP1","RESP2","name","study","group","condition"
"1",20.951792,-1.53561180124248,0.145179227464134,0.766975462794309,-1.21406508113534,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"2",20.953458,-1.53561180124248,0.184509719184815,0.764677020796501,-0.942067807796795,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"3",20.955125,-1.53561180124248,0.241107256051156,0.75707161981848,-0.784946216541306,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"4",20.956793,-1.53561180124248,0.241107256051156,0.746682220618323,-0.767803910329458,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"5",20.95846,-1.53561180124248,0.241107256051156,0.732386155669159,-0.893033292285072,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"6",20.960125,-1.53561180124248,0.241107256051156,0.710764404335823,-1.10318017824845,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"7",20.961792,-1.53561180124248,0.241107256051156,0.680817961350823,-1.32184918796322,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"8",20.963459,-1.53561180124248,0.241107256051156,0.647564683385283,-1.52132105497036,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"9",20.965124,-1.53561180124248,0.241107256051156,0.617518612657929,-1.69084391898611,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"10",20.966791,-1.42489060451907,0.241107256051156,0.588179594169168,-1.82669785693656,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"11",20.968458,-1.34794875594857,0.228879050741099,0.548431614644308,-1.94980416270998,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"12",20.970124,-1.34794875594857,0.0373038342168581,0.496964522578572,-2.05510239524693,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"13",20.971792,-1.34794875594857,0.0373038342168581,0.451954188008468,-2.10640545024998,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"14",20.973459,-1.34794875594857,0.0373038342168581,0.423977199210005,-2.10341494634521,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"15",20.975125,-1.34794875594857,0.0373038342168581,0.40811053509611,-2.08673139432776,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"16",20.976793,-1.34794875594857,0.0373038342168581,0.395967058506157,-2.08266033314758,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"17",20.978459,-1.34794875594857,0.0373038342168581,0.390589888263016,-2.1029712928097,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"18",20.980124,-1.34794875594857,0.0373038342168581,0.387542591661113,-2.12166667311719,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"19",20.981792,-1.34794875594857,0.0373038342168581,0.376607844846115,-2.12797569017575,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"20",20.983458,-1.1501306182736,0.0373038342168581,0.355973056946589,-2.13305964238766,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"21",20.985123,-1.01266377683845,-0.0249277772601302,0.337817068223246,-2.13291322334061,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"22",20.986791,-1.01266377683845,-0.0555791679876019,0.32003737451493,-2.11149379885626,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"23",20.988458,-1.01266377683845,-0.0555791679876019,0.285243798570233,-2.05876038650456,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"24",20.990125,-1.01266377683845,-0.0555791679876019,0.245607611497264,-1.92306395416086,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"25",20.991792,-1.01266377683845,-0.0555791679876019,0.215699456628343,-1.65603632678079,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"26",20.993459,-1.01266377683845,-0.0555791679876019,0.203688391058568,-1.26520738102277,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"27",20.995126,-1.01266377683845,-0.0555791679876019,0.207151057197042,-0.897717363757528,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"28",20.996792,-1.01266377683845,-0.0555791679876019,0.22334457108235,-0.652278135323415,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"29",20.998458,-1.01266377683845,-0.0555791679876019,0.252171320136142,-0.53141093231385,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"30",21.000124,-0.82455750219201,-0.0754306065439458,0.288727427329385,-0.497081017913456,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"31",21.001792,-0.69383958252245,-0.160060423547306,0.327409655422906,-0.495705328772984,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"32",21.003458,-0.69383958252245,-0.160060423547306,0.365391294547749,-0.501771588403666,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"33",21.005123,-0.69383958252245,-0.160060423547306,0.398750958427608,-0.505048431384785,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"34",21.006792,-0.69383958252245,-0.160060423547306,0.421474316366456,-0.516694288904919,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"35",21.00846,-0.69383958252245,-0.160060423547306,0.425220629126105,-0.546431691524157,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"36",21.010125,-0.69383958252245,-0.160060423547306,0.403049794751969,-0.584238962718141,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"37",21.011792,-0.69383958252245,-0.160060423547306,0.358798267730127,-0.614256587691128,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"38",21.01346,-0.69383958252245,-0.160060423547306,0.307560855210528,-0.637069669188565,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"39",21.015126,-0.69383958252245,-0.160060423547306,0.270543472061691,-0.662441069910134,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"40",21.016791,-0.852220406463779,-0.110592127430663,0.232671290747515,-0.682396877366752,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"41",21.018458,-0.962281656999278,-0.0949705602359327,0.168681207729427,-0.704533105279862,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"42",21.020124,-0.962281656999278,-0.0949705602359327,0.0928302871605596,-0.766385212983261,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"43",21.021792,-0.962281656999278,-0.0949705602359327,0.0582894668473644,-0.836291897454926,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"44",21.023457,-0.962281656999278,-0.0949705602359327,0.0977501380506025,-0.831515501700846,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"45",21.025125,-0.962281656999278,-0.0949705602359327,0.191710698570716,-0.792982634289377,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"46",21.026793,-0.962281656999278,-0.0949705602359327,0.271478803061686,-0.797434270303335,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"47",21.028459,-0.962281656999278,-0.0949705602359327,0.281948341893766,-0.87294329922659,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"48",21.030125,-0.962281656999278,-0.0949705602359327,0.233097301333035,-0.966526861114241,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"49",21.031792,-0.962281656999278,0.111474276522197,0.193991421870389,-1.03186110430076,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"50",21.03346,-0.845745258855104,0.25493594274395,0.209640251670466,-1.06923561737135,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"51",21.035123,-0.764762338110848,0.25493594274395,0.26603555018431,-1.09170482437057,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"52",21.036791,-0.764762338110848,0.25493594274395,0.333032159595972,-1.11466528065296,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"53",21.038458,-0.764762338110848,0.25493594274395,0.399306627614179,-1.1468837788736,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"54",21.040124,-0.764762338110848,0.25493594274395,0.46002700873478,-1.1553193127708,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"55",21.041791,-0.764762338110848,0.25493594274395,0.506360323048808,-1.14314359415613,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"56",21.043458,-0.764762338110848,0.25493594274395,0.539837603696034,-1.13088663781954,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"57",21.045126,-0.764762338110848,0.25493594274395,0.567561935163678,-1.12988273072411,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"58",21.046792,-0.764762338110848,0.302767488692284,0.588121056112363,-1.12536973633665,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"59",21.048459,-0.764762338110848,0.352551342638508,0.594763675624625,-1.08818751773255,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"60",21.050125,-0.220772886351493,0.352551342638508,0.585791600249028,-1.05620642480751,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"61",21.051793,0.157253681820262,0.352551342638508,0.55464070356879,-1.11240648968825,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"62",21.053457,0.157253681820262,0.352551342638508,0.49489320430914,-1.27780840300517,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"63",21.055123,0.157253681820262,0.352551342638508,0.411189287916614,-1.42802230297841,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"64",21.056792,0.157253681820262,0.352551342638508,0.316369997203835,-1.51290272435545,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"65",21.058458,0.157253681820262,0.352551342638508,0.222755160186294,-1.54738880632952,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"66",21.060123,0.157253681820262,0.352551342638508,0.143267532119469,-1.56348075658377,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"67",21.061792,0.157253681820262,0.404716717537059,0.0934811605587434,-1.56021251524379,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"68",21.06346,0.157253681820262,0.4659543315484,0.0707869979227859,-1.54472956118262,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"69",21.065126,0.157253681820262,0.4659543315484,0.0641032641498041,-1.53253530125259,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"70",21.066792,0.329886515801003,0.4659543315484,0.0673371354482898,-1.56150715780992,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"71",21.068459,0.449851705516432,0.4659543315484,0.0720552241862056,-1.61775176007704,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"72",21.070125,0.449851705516432,0.4659543315484,0.0619111097656326,-1.68379841029795,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"73",21.071792,0.449851705516432,0.4659543315484,0.00626368284905189,-1.76518465389428,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"74",21.073457,0.449851705516432,0.4659543315484,-0.125872827756251,-1.84329940664175,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"75",21.075124,0.449851705516432,0.4659543315484,-0.388090990827338,-1.9004483281146,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"76",21.076792,0.449851705516432,0.565108342544417,-0.705183230319628,-1.93405952761042,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"77",21.078458,0.449851705516432,0.63990873680457,-0.863375600152684,-1.94108955334452,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"78",21.080125,0.449851705516432,0.63990873680457,-0.821893006773287,-1.93300859821007,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"79",21.081793,0.449851705516432,0.63990873680457,-0.633599601385904,-1.95921971025498,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"80",21.08346,-0.0013209350414331,0.63990873680457,-0.3801007776699,-2.03901465023947,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"81",21.085125,-0.31484768525961,0.63990873680457,-0.132535638228828,-2.09160909829977,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"82",21.086792,-0.31484768525961,0.63990873680457,0.0883934366770828,-2.04148293895295,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"83",21.088459,-0.31484768525961,0.63990873680457,0.268988822182798,-1.8754877035446,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"84",21.090124,-0.31484768525961,0.63990873680457,0.389299593496233,-1.63353213977425,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"85",21.091791,-0.31484768525961,0.57868625094978,0.44355749110641,-1.35732044456977,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"86",21.093458,-0.31484768525961,0.537871260379918,0.443551371888885,-1.07262447283494,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"87",21.095124,-0.31484768525961,0.537871260379918,0.407169478081322,-0.817076978022272,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"88",21.096792,-0.31484768525961,0.537871260379918,0.351152293145142,-0.627351726170419,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"89",21.098459,-0.31484768525961,0.537871260379918,0.28412926542489,-0.502681259741655,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"90",21.100125,-0.567689783099283,0.537871260379918,0.203536344476935,-0.41923520981245,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"91",21.101793,-0.743393613801429,0.537871260379918,0.144589823758611,-0.358656336146106,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"92",21.103459,-0.743393613801429,0.537871260379918,0.11742123520305,-0.301337675621334,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"93",21.105124,-0.743393613801429,0.75176981745068,0.0890262718999119,-0.255977207764052,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"94",21.106792,-0.743393613801429,1.46786498677454,0.0428084117382221,-0.23700122280765,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"95",21.108458,-0.743393613801429,1.46786498677454,-0.034479345340806,-0.254128810655761,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"96",21.110123,-0.743393613801429,1.46786498677454,-0.133625318503959,-0.341051070493071,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"97",21.111791,-0.743393613801429,1.46786498677454,-0.249545904634214,-0.52536799268805,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"98",21.113458,-0.743393613801429,1.46786498677454,-0.360296191409108,-0.751953188322441,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"99",21.115125,-0.743393613801429,1.46786498677454,-0.412059445198341,-0.978812107292827,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"100",21.116792,-0.793430562091973,1.46786498677454,-0.352278205268737,-1.18233840564061,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"101",21.118459,-0.828202000734556,1.46786498677454,-0.25392501624544,-1.36645615205619,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"102",21.120126,-0.828202000734556,1.20683989464083,-0.180445486611332,-1.51982092875466,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"103",21.121792,-0.828202000734556,1.01782172447504,-0.131300409047219,-1.6248173392612,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"104",21.123458,-0.828202000734556,1.01782172447504,-0.0951058591390846,-1.66820554637771,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"105",21.125124,-0.828202000734556,1.01782172447504,-0.0744921714811932,-1.66326304337573,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"106",21.126792,-0.828202000734556,1.01782172447504,-0.072903509565936,-1.66154156826123,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"107",21.128458,-0.828202000734556,1.01782172447504,-0.0788599411595994,-1.67461606280177,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"108",21.130123,-0.828202000734556,1.01782172447504,-0.0802477747792191,-1.69538730583894,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"109",21.131792,-0.828202000734556,1.01782172447504,-0.0809584887182591,-1.71309445315265,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"110",21.13346,-0.677471503252511,1.01782172447504,-0.0894315185582863,-1.72577862433279,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"111",21.135125,-0.572726581273464,0.760840892859121,-0.129519217871498,-1.72664242025134,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"112",21.136792,-0.572726581273464,0.63990873680457,-0.239891492760783,-1.72453750308934,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"113",21.13846,-0.572726581273464,0.63990873680457,-0.33741145712164,-1.71723776811846,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"114",21.140126,-0.572726581273464,0.63990873680457,-0.349961534389792,-1.7220839327396,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"115",21.141791,-0.572726581273464,0.63990873680457,-0.248562708819837,-1.7512844018038,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"116",21.143458,-0.572726581273464,0.63990873680457,-0.0409105520313745,-1.7865761708318,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"117",21.145124,-0.572726581273464,0.63990873680457,0.219265461359959,-1.80774385395197,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"118",21.146792,-0.572726581273464,0.63990873680457,0.474076855047871,-1.80632706808159,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"119",21.148457,-0.572726581273464,0.63990873680457,0.672955971014658,-1.75968399995578,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"120",21.150125,-0.641597394001544,0.512177638085001,0.797776556493624,-1.63988397389095,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"121",21.151793,-0.689456772338005,-0.211631921325894,0.856256468444294,-1.44296105987646,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"122",21.153459,-0.689456772338005,-0.211631921325894,0.863489825911835,-1.18430990179107,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"123",21.155125,-0.689456772338005,-0.211631921325894,0.843011975052928,-0.919714053936506,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"124",21.156792,-0.689456772338005,-0.211631921325894,0.812214985407133,-0.685475691453953,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"125",21.15846,-0.689456772338005,-0.211631921325894,0.779239357721098,-0.477622194167444,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"126",21.160123,-0.689456772338005,-0.211631921325894,0.752255205822262,-0.316219088245089,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"127",21.161791,-0.689456772338005,-0.211631921325894,0.735008129790323,-0.22325197730617,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"128",21.163458,-0.689456772338005,-0.211631921325894,0.726929804225756,-0.183602425726487,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"129",21.165124,-0.689456772338005,-0.014295592466132,0.72759891240066,-0.182913912139718,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"130",21.166791,-0.115157966452191,0.610602782256452,0.735482823789164,-0.199540311030442,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"131",21.168458,0.28393103424812,0.610602782256452,0.747120297612698,-0.217011773376776,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"132",21.170126,0.28393103424812,0.610602782256452,0.762129460292468,-0.254902576063658,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"133",21.171792,0.28393103424812,0.610602782256452,0.780362860803777,-0.308751716845662,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"134",21.173459,0.28393103424812,0.610602782256452,0.798026215653607,-0.359169567401097,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"135",21.175125,0.28393103424812,0.610602782256452,0.811705861594025,-0.407819493979843,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"136",21.176793,0.28393103424812,0.610602782256452,0.818052178272158,-0.461405424542807,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"137",21.178457,0.28393103424812,0.610602782256452,0.805387929238146,-0.506210799824859,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"138",21.180123,0.28393103424812,0.594877063522396,0.730696440651643,-0.534748560225728,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"139",21.181792,0.28393103424812,0.552359379537722,0.520414125964395,-0.555887571208749,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"140",21.183458,-0.0267472932958062,0.552359379537722,0.166434471890947,-0.566987702385121,"Study1_G4_T3_TurnTaking.csv","1","4","3"
"141",21.185123,-0.242642402267009,0.552359379537722,-0.258322172151238,-0.598973956294849,"Study1_G4_T3_TurnTaking.csv","1","4","3"
